Datasets,MIBoost,MIOptimalBall,MIDD,MIWrapper,MISMO,MISVM,SimpleMI,TLC,Bagging,Stacking
suramin,0.5,0.725,0.425,0.5,0.725,0.5,0.5,0.6,0.675,0.452380952380952
eastWest,0.5,0.725,0.6125,0.5,0.7125,0.5625,0.5,0.6,0.6375,0.45
westEast,0.5,0.375,0.45,0.5,0.7375,0.4125,0.5,0.5625,0.6875,0.6375
musk1,0.5,0.767612293144208,0.879669030732861,0.5,0.781560283687943,0.75886524822695,0.5,0.85886524822695,0.87919621749409,0.85886524822695
musk2,0.5,0.74317617866005,0.698097601323408,0.5,0.677212572373863,0.690033085194375,0.5,0.631720430107527,0.704301075268817,0.643507030603805
webmining,0.5,0.509575569358178,0.5,0.5,0.718426501035197,0.809782608695652,0.5,0.683747412008282,0.593944099378882,0.604813664596273
trx,0.5,0.739166666666667,0.693214285714286,0.5,0.5,0.5,0.5,0.673214285714286,0.6,0.628095238095238
mutagenesis-bonds,0.5,0.657777777777778,0.698095238095238,0.5,0.785015873015873,0.5,0.5,0.801206349206349,0.856888888888889,0.821142857142857
mutagenesis-chains,0.5,0.614222222222222,0.725714285714286,0.5,0.805142857142857,0.5,0.5,0.817015873015873,0.824952380952381,0.813015873015873
mutagenesis-atoms,0.5,0.582412698412698,0.618603174603175,0.5,0.642031746031746,0.5,0.5,0.725714285714286,0.765396825396825,0.713714285714286
tiger,0.5,0.5,0.71,0.5,0.72,0.755,0.5,0.665,0.77,0.725
elephant,0.5,0.5,0.79,0.5,0.81,0.8,0.5,0.8,0.85,0.825
fox,0.5,0.5,0.58,0.5,0.525,0.475,0.5,0.645,0.62,0.65
component,0.5,0.553634260532845,0.603316329872382,0.5,0.627179250712407,0.520094562647754,0.5,0.812277686516264,0.803043243984382,0.808103673079426
function,0.5,0.5297966986162,0.601458307952607,0.5,0.639121346292517,0.526775470999649,0.5,0.845598005980366,0.840788172103199,0.843444858009828
